event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
TUR12219,2020-06-18,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (Turkey),HDP: Peoples Democratic Party; Government of Turkey (2016-); HDK: Peoples Democratic Congress; DBP: Democratic Regions Party; ESP: Socialist Party of the Oppressed; TMMOB: Union of Chambers of Turkish Engineers and Architects; KESK: Confederation of Public Workers Unions; Labor Group (Turkey); TIP: Workers' Party of Turkey; EMEP: Labor Party; Yesil Sol Parti: Green Left Party; SGDF: Socialist Youth Associations Federation; Halkevleri: People's Houses; The Peace Mothers; Women (Turkey); Alevi Muslim Group (Turkey),6,Police Forces of Turkey (2016-),,1,16,,792,Middle East,Turkey,Istanbul,Besiktas,,Besiktas,41.0454,29.0099,1,Haber Ercis; Demokrat Haber; ANF News; Mezopotamya Agency,National-International,"On 18 June 2020, hundreds of people including HDP members, party executives and MPs,held a demonstration march in Besiktas town, Istanbul as part of the 'March for Democracy against the Coup' organized by the party, consisting of two nation-wide demonstration marches that started on 15 June from Edirne and Hakkari provinces and will finish in Ankara, in protest of the dismissal of its MPs. DBP, HDK, ESP, TIP, EMEP and Green Left party members and MPs, KESK and TMMOB members and executives, SGDF, Halkevleri, Peace Mothers and Alevi associations also supported and participated in the event. Police intervened and detained 5 protesters.",0,crowd size=hundreds,1642455500
TUR12260,2020-06-18,2020,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,YPS: Civil Protection Units,,2,,,0,20,,792,Middle East,Turkey,Konya,Karatay,,Karatay,37.8762,32.5424,1,ANF News,International,"On 18 June 2020, Martyr Mugdat Ay Vengeance Unit of YPS carried out a remote explosive attack targeting a factory in Fevzi Cakmak neighborhood of Karatay, Konya. The attack reportedly burnt down the factory, causing significant material damage.",0,,1665526394
TUR12235,2020-06-18,2020,1,Political violence,Battles,Armed clash,PKK: Kurdistan Workers Party,,2,Military Forces of Turkey (2016-),,1,12,,792,Middle East,Turkey,Hakkari,Cukurca,,Cukurca,37.2481,43.6136,2,People's Defense Forces,Other,"On 18 June 2020, PKK militants carried out two attacks targeting Turkish Army units in Gire military outpost and on Koordine hill (Kurdish names) in Cukurca district of Hakkari. No information on the casualties was reported by the source.",0,,1712617433
TUR12241,2020-06-18,2020,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,PKK: Kurdistan Workers Party,,2,Military Forces of Turkey (2016-),,1,12,,792,Middle East,Turkey,Hakkari,Cukurca,,Cukurca,37.2481,43.6136,2,People's Defense Forces,Other,"On 18 June 2020, PKK militants carried out a remote explosive attack targeting a Turkish Army vehicle en route from Sehit Bager hill to Sehit Reber hill (Kurdish names) in Cukurca district of Hakkari. 5 Soldiers were killed in the attack  (PKK's claim of fatalities among Turkish forces is coded as 0 fatalities).",0,,1712617433
TUR12236,2020-06-18,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (Turkey),Labor Group (Turkey),6,Police Forces of Turkey (2016-),,1,16,,792,Middle East,Turkey,Ankara,Cankaya,,Cankaya,39.9179,32.8627,1,Human Rights Foundation of Turkey,Other,"On 18 June 2020, former public workers who were dismissed by a government decree held a protest at Yuksel Street in Cankaya, Ankara to demand their jobs back. Police intervened in the protest and moved the protesters out of the area by force.",0,crowd size=no report,1715049775
TUR12192,2020-06-17,2020,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,PKK: Kurdistan Workers Party,,2,Civilians (Turkey),Labor Group (Turkey),7,27,Civilian targeting,792,Middle East,Turkey,Sirnak,Silopi,,Silopi,37.2438,42.4634,2,Haber 7; Aydinlik; Daily Sabah; Takvim,National,"On 17 June 2020, PKK militants carried out a roadside IED attack during the passage of a civilian truck carrying the personnel working at a road construction site in Kurtil Tepe area (unknown location) in Silopi district of Sirnak. 4 workers died in the attack.",4,,1592841584
TUR12203,2020-06-17,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),HDP: Peoples Democratic Party; Government of Turkey (2016-); DTK: Democratic Society Congress; HDK: Peoples Democratic Congress; DBP: Democratic Regions Party; ESP: Socialist Party of the Oppressed; LGBTQ+ (Turkey),6,,,0,60,,792,Middle East,Turkey,Istanbul,Kadikoy,,Kadikoy,40.9813,29.0521,1,Mezopotamya Agency; ANF News,National-International,"On 17 June 2020, HDP members, including the party executives and MPs gathered in Kadikoy town, Istanbul as part of the 'March for Democracy against the Coup' organized by the party, consisting of two nation-wide demonstration marches that started on 15 June from Edirne and Hakkari provinces and will finish in Ankara, in protest of the dismissal of its MPs. DTK, DBP, HDK and ESP executives and members, LGBT associations also participated in the event.",0,crowd size=no report,1592841584
TUR12205,2020-06-17,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),HDP: Peoples Democratic Party; Government of Turkey (2016-); DTK: Democratic Society Congress,6,,,0,60,,792,Middle East,Turkey,Diyarbakir,Yenisehir,,Diyarbakir,37.9136,40.2172,1,ANF News,International,"On 17 June 2020, HDP members, including the party executives and MPs gathered outside the HDP party building in Diyarbakir town as part of the 'March for Democracy against the Coup' organized by the party, consisting of two nation-wide demonstration marches that started on 15 June from Edirne and Hakkari provinces and will finish in Ankara, in protest of the dismissal of its MPs. DTK executives also participated in the event.",0,crowd size=no report,1618501011
TUR12212,2020-06-17,2020,1,Strategic developments,Strategic developments,Looting/property destruction,Children of Fire,,3,Civilians (Turkey),Labor Group (Turkey),7,37,,792,Middle East,Turkey,Van,Edremit,,Edremit,38.4207,43.2589,2,ANF News,International,"Property destruction: On 17 June 2020, the children of fire initiative carried out an arson attack targeting a commercial depot in Edremit district of Balikesir. The attack reportedly caused major material damage.",0,,1592841584
TUR12210,2020-06-17,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (Turkey),HDP: Peoples Democratic Party,6,Police Forces of Turkey (2016-),,1,16,,792,Middle East,Turkey,Bitlis,Tatvan,,Tatvan,38.4922,42.2827,1,Human Rights Foundation of Turkey,Other,"On 17 June 2020, HDP members, including the party executives held a demonstration march in Tatvan town, Bitlis as part of the 'March for Democracy against the Coup' organized by the party, consisting of two nation-wide demonstration marches that started on 15 June from Edirne and Hakkari provinces and will finish in Ankara, in protest of the dismissal of its MPs. Police intervened and detained one protester.",0,crowd size=no report,1592841584
TUR12208,2020-06-17,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),,6,,,0,60,,792,Middle East,Turkey,Diyarbakir,Yenisehir,,Diyarbakir,37.9136,40.2172,1,Ihlas News Agency,National,"On 17 June 2020, families who claim their children have been kidnapped by the PKK continued their sit-in protest in front of the HDP provincial building in Diyarbakir city center for the 289th day. The families accused HDP of working with PKK, and demanded their children be returned.",0,crowd size=no report,1618500962
